2008	6	378	1	10	3.72	0	20.6	270.5	112.8	101.612903
2009	6	382	1	10	3.72	1	21.8	173.5	112.2	102.688172
2010	6	463	1	10	3.72	2	22.3	137.5	161.1	124.462366
2011	6	402	1	10	3.72	3	21.8	199	121.9	108.064516
2012	6	398	1	10	3.72	4	20.9	216	114.2	106.989247
2013	6	430	1	10	3.72	5	22	168	136.9	115.591398
2014	6	455	1	10	3.72	6	22.4	262.5	167.4	122.311828
2015	6	422	1	10	3.72	7	21.6	132	139.2	113.44086
2017	6	462	1	10	3.72	8	21.7	119	168.8	124.1935484
2010	6	475	1	30	4.2	1	22.3	137.5	161.1	113.0952381
2011	6	398	1	30	4.2	2	21.8	199	121.9	94.76190476
2012	6	393	1	30	4.2	3	20.9	216	114.2	93.57142857
2013	6	432	1	30	4.2	4	22	168	136.9	102.8571429
2010	6	584	5	20	5.12	0	22.3	137.5	161.1	114.0625
2011	6	499	5	20	5.12	1	21.8	199	121.9	97.4609375
2012	6	485	5	20	5.12	2	20.9	216	114.2	94.7265625
2013	6	536	5	20	5.12	3	22	168	136.9	104.6875
2014	6	560	5	20	5.12	4	22.4	262.5	167.4	109.375
2015	6	530	5	20	5.12	5	21.6	132	139.2	103.515625
2016	6	502	5	20	5.12	6	22	131	137.1	98.046875
2017	6	410	5	20	5.12	7	21.7	119	168.8	80.078125
2011	6	455	3	30	4.56	0	21.8	199	121.9	99.78070175
2012	6	448	3	30	4.56	1	20.9	216	114.2	98.24561404
2013	6	500	3	30	4.56	2	22	168	136.9	109.6491228
2014	6	529	3	30	4.56	3	22.4	262.5	167.4	116.0087719
2015	6	480	3	30	4.56	4	21.6	132	139.2	105.2631579
2016	6	456	3	30	4.56	5	22	131	137.1	100
2012	6	362	1	30	3.8	0	20.9	216	114.2	95.26315789
2013	6	323	13	30	3.075	1	22	168	136.9	105.0406504
2014	6	350	13	30	3.075	2	22.4	262.5	167.4	113.8211382
2015	6	326	13	30	3.075	3	21.6	132	139.2	106.0162602
2016	6	305	13	30	3.075	4	22	131	137.1	99.18699187
2017	6	346	13	30	3.075	5	21.7	119	168.8	112.5203252
2012	6	311	1	30	3.06	0	20.9	216	114.2	101.6339869
2013	6	330	1	30	3.06	1	22	168	136.9	107.8431373
2014	6	343	1	30	3.06	2	22.4	262.5	167.4	112.0915033
2015	6	302	1	30	3.06	3	21.6	132	139.2	98.69281046
2016	6	281	1	30	3.06	4	22	131	137.1	91.83006536
2017	6	323	1	30	3.06	5	21.7	119	168.8	105.5555556
2012	6	358	1	30	3.4	1	20.9	216	114.2	105.2941176
2013	6	374	1	30	3.4	2	22	168	136.9	110
2014	6	385	1	30	3.4	3	22.4	262.5	167.4	113.2352941
2015	6	352	1	30	3.4	4	21.6	132	139.2	103.5294118
2013	6	472	15	30	4.23	0	22	168	136.9	111.5839243
2014	6	511	15	30	4.23	1	22.4	262.5	167.4	120.8037825
2015	6	469	15	30	4.23	2	21.6	132	139.2	110.8747045
2017	6	500	15	30	4.23		21.7	119	168.8	118.2033097
2014	6	532	1	30	4.66	1	22.4	262.5	167.4	114.1630901
2015	6	497	1	30	4.66	2	21.6	132	139.2	106.6523605
2016	6	465	1	30	4.66	3	22	131	137.1	99.78540773
2017	6	525	1	30	4.66	4	21.7	119	168.8	112.6609442
2013	6	465	1	30	4.68	0	22	168	136.9	99.35897436
2014	6	534	1	30	4.68	1	22.4	262.5	167.4	114.1025641
2012	6	366	1	30	3.68	0	20.9	216	114.2	99.45652174
2013	6	398	1	30	3.68	1	22	168	136.9	108.1521739
2014	6	414	1	30	3.68	2	22.4	262.5	167.4	112.5
2015	6	397	1	30	3.68	3	21.6	132	139.2	107.8804348
2016	6	368	1	30	3.68	4	22	131	137.1	100
